scenario,trial,inject_ts,detect_ts,mttd_ms,predicted_class,true_class,confidence,avg_rtt_ms,avg_jitter_ms,avg_loss_rate,max_burst_loss,avg_throughput_bps,total_bytes_sent,probe_count
F2,1,1788543440023,1788543460000,19977,NodeIngressFailure,NodeIngressFailure,1,0.393667,0.078998,0.333333,5,1153510.19,20480,30
F2,2,1788543477467,1788543490000,12533,NodeIngressFailure,NodeIngressFailure,1,0.388000,0.072492,0.333333,5,1199497.36,20480,30
F2,3,1788543507291,1788543520000,12709,NodeIngressFailure,NodeIngressFailure,1,0.405667,0.068267,0.333333,5,1119018.94,20480,30
F3,1,1788543537007,1788543550000,12993,NodeEgressFailure,NodeEgressFailure,1,0.438167,0.134401,0.333333,5,1039452.37,20480,30
F3,2,1788543567064,1788543580000,12936,NodeEgressFailure,NodeEgressFailure,1,0.381500,0.072413,0.333333,5,1200226.23,20480,30
F3,3,1788543596954,1788543610000,13046,NodeEgressFailure,NodeEgressFailure,1,0.427833,0.085418,0.333333,5,1062530.89,20480,30
F4,1,1788543632661,1788543655000,22339,NodeIsolated,NodeIsolated,1,0.191333,0.048473,0.666667,5,595105.30,10240,30
F4,2,1788543682948,1788543700000,17052,NodeIsolated,NodeIsolated,1,0.192667,0.027527,0.666667,5,588433.69,10240,30
F4,3,1788543728547,1788543745000,16453,NodeIsolated,NodeIsolated,1,0.197833,0.041486,0.666667,5,573767.52,10240,30
F5,1,1788543766399,,TIMEOUT,,Degraded,,,,,,,,
F5,2,1788543938093,,TIMEOUT,,Degraded,,,,,,,,
F5,3,1788544110656,,TIMEOUT,,Degraded,,,,,,,,
F6,1,1788544282633,1788544300000,17367,ClusterPartition,ClusterPartition,1,0.000000,0.000000,1.000000,5,0.00,0,30
F6,2,1788544317016,1788544330000,12984,ClusterPartition,ClusterPartition,1,0.000000,0.000000,1.000000,5,0.00,0,30
F6,3,1788544346114,1788544360000,13886,ClusterPartition,ClusterPartition,1,0.000000,0.000000,1.000000,5,0.00,0,30
